"Брызги кислоты","Acid splash"
"Узилище","Forcecage"
"Предвидение","Foresight"
"Свобода перемещения","Freedom of movement"
"Дружба","Friends"
"Газообразная форма","Gaseous form"
"Врата","Gate"
"Обет","Geas"
"Нетленные останки","Gentle repose"
"Гигантское насекомое","Giant insect"
"Находчивость","Glibness"
"Сфера неуязвимости","Globe of invulnerability"
"Охранные руны","Glyph of warding"
"Чудо-ягоды","Goodberry"
"Цепкая лоза","Grasping vine"
"Скольжение","Grease"
"Высшая невидимость","Greater invisibility"
"Высшее восстановление","Greater restoration"
"Страж веры","Guardian of faith"
"Стражи","Guards and wards"
"Указание","Guidance"
"Направленный снаряд","Guiding bolt"
"Порыв ветра","Gust of wind"
"Град шипов","Hail of thorns"
"Святилище","Hallow"
"Мираж","Hallucinatory terrain"
"Поражение","Harm"
"Ускорение","Haste"
"Полное исцеление","Heal"
"Лечащее слово","Healing word"
"Раскалённый металл","Heat metal"
"Адское возмездие","Hellish rebuke"
"Пир героев","Heroes’ feast"
"Героизм","Heroism"
"Сглаз","Hex"
"Удержание чудовища","Hold monster"
"Удержание личности","Hold person"
"Аура святости","Holy aura"
"Голод Хадара","Hunger of Hadar"
"Метка охотника","Hunter's mark"
"Гипнотический узор","Hypnotic pattern"
"Град","Ice storm"
"Опознание","Identify"
"Невидимое письмо","Illusory script"
"Заточение","Imprisonment"
"Воспламеняющаяся туча","Incendiary cloud"
"Нанесение ран","Inflict wounds"
"Нашествие насекомых","Insect plague"
"Невидимость","Invisibility"
"Прыжок","Jump"
"Открывание","Knock"
"Знание легенд","Legend lore"
"Леомундов потайной сундук","Leomund’s secret chest"
"Леомундова хижина","Leomund’s tiny hut"
"Малое восстановление","Lesser restoration"
"Левитация","Levitate"
"Свет","Light"
"Молниевая стрела","Lightning arrow"
"Молния","Lightning bolt"
"Поиск животных или растений","Locate animals or plants"
"Поиск существа","Locate creature"
"Поиск предмета","Locate object"
"Скороход","Longstrider"
"Доспехи мага","Mage armor"
"Волшебная рука","Mage hand"
"Магический круг","Magic circle"
"Волшебный сосуд","Magic jar"
"Волшебная стрела","Magic missile"
"Волшебные уста","Magic mouth"
"Магическое оружие","Magic weapon"
"Образ","Major image"
"Множественное лечение ран","Mass cure wounds"
"Множественное полное исцеление","Mass heal"
"Множественное лечащее слово","Mass healing word"
"Множественное внушение","Mass suggestion"
"Лабиринт","Maze"
"Слияние с камнем","Meld into stone"
"Мельфова кислотная стрела","Melf's acid arrow"
"Починка","Mending"
"Сообщение","Message"
"Метеоритный дождь","Meteor swarm"
"Сокрытие разума","Mind blank"
"Малая иллюзия","Minor illusion"
"Таинственный мираж","Mirage arcane"
"Отражения","Mirror image"
"Фальшивый двойник","Mislead"
"Туманный шаг","Misty step"
"Изменение памяти","Modify memory"
"Лунный луч","Moonbeam"
"Верный пёс Морденкайнена","Mordenkainen’s faithful hound"
"Великолепный особняк Морденкайнена","Mordenkainen’s magnificent mansion"
"Кабинет Морденкайнена","Mordenkainen’s private sanctum"
"Меч Морденкайнена","Mordenkainen’s sword"
"Движение почвы","Move earth"
"Необнаружимость","Nondetection"
"Нистулова ложная аура","Nystul’s magic aura"
"Отилюков ледяной шар","Otiluke’s freezing sphere"
"Отилюков упругий шар","Otiluke’s resilient sphere"
"Неудержимая пляска Отто","Otto’s irresistible dance"
"Бесследное передвижение","Pass without trace"
"Создание прохода","Passwall"
"Воображаемая сила","Phantasmal force"
"Воображаемый убийца","Phantasmal killer"
"Прирачный скакун","Phantom steed"
"Планарный союзник","Planar ally"
"Планарные узы","Planar binding"
"Уход в иной мир","Plane shift"
"Рост растений","Plant growth"
"Ядовитые брызги","Poison spray"
"Превращение","Polymorph"
"Слово Силы: исцеление","Power word heal"
"Слово Силы: смерть","Power word kill"
"Слово Силы: оглушение","Power word stun"
"Молебен лечения","Prayer of healing"
"Фокусы","Prestidigitation"
"Радужные брызги","Prismatic spray"
"Радужная стена","Prismatic wall"
"Сотворение пламени","Produce flame"
"Заданная иллюзия","Programmed illusion"
"Проекция","Project image"
"Защита от энергии","Protection from energy"
"Защита от добра и зла","Protection from evil and good"
"Защита от яда","Protection from poison"
"Очищение пищи и питья","Purify food and drink"
"Оживление","Raise dead"
"Ментальная связь Рэри","Rary’s telepathic bond"
"Луч слабости","Ray of enfeeblement"
"Луч холода","Ray of frost"
"Луч болезни","Ray of sickness"
"Регенерация","Regenerate"
"Реинкарнация","Reincarnate"
"Снятие проклятья","Remove curse"
"Сопротивление","Resistance"
"Воскрешение","Resurrection"
"Изменение тяготения","Reverse gravity"
"Возрождение","Revivify"
"Трюк с верёвкой","Rope trick"
"Священное пламя","Sacred flame"
"Убежище","Sanctuary"
"Палящий луч","Scorching ray"
"Наблюдение","Scrying"
"Палящая кара","Searing smite"
"Видение невидимого","See invisibility"
"Притворство","Seeming"
"Послание","Sending"
"Изоляция","Sequester"
"Полное превращение","Shapechange"
"Дребезги","Shatter"
"Щит","Shield"
"Щит веры","Shield of faith"
"Дубинка","Shillelagh"
"Электрошок","Shocking grasp"
"Тишина","Silence"
"Безмолвный образ","Silent image"
"Подобие","Simulacrum"
"Усыпление","Sleep"
"Метель","Sleet storm"
"Замедление","Slow"
"Уход за умирающим","Spare the dying"
"Разговор с животными","Speak with animals"
"Разговор с мёртвыми","Speak with dead"
"Разговор с растениями","Speak with plants"
"Паук","Spider climb"
"Шипы","Spike growth"
"Духовные стражи","Spirit guardians"
"Божественное оружие","Spiritual weapon"
"Оглушающая кара","Staggering smite"
"Зловонное облако","Stinking cloud"
"Изменение формы камня","Stone shape"
"Каменная кожа","Stoneskin"
"Гроза гнева","Storm of vengeance"
"Внушение","Suggestion"
"Солнечный луч","Sunbeam"
"Солнечный ожог","Sunburst"
"Быстрый колчан","Swift quiver"
"Знак","Symbol"
"Жуткий смех Таши","Tasha's hideous laughter"
"Телекинез","Telekinesis"
"Телепатия","Telepathy"
"Телепортация","Teleport"
"Круг телепортации","Teleportation circle"
"Тензеров парящий диск","Tenser’s floating disk"
"Чудотворство","Thaumaturgy"
"Терновый кнут","Thorn whip"
"Громовая кара","Thunderous smite"
"Волна грома","Thunderwave"
"Остановка времени","Time stop"
"Языки","Tongues"
"Путешествие через растения","Transport via plants"
"Древесный путь","Tree stride"
"Истинное превращение","True polymorph"
"Истинное воскрешение","True resurrection"
"Истинное зрение","True seeing"
"Меткий удар","True strike"
"Цунами","Tsunami"
"Невидимый слуга","Unseen servant"
"Прикосновение вампира","Vampiric touch"
"Злая насмешка","Vicious mockery"
"Огненная стена","Wall of fire"
"Силовая стена","Wall of force"
"Ледяная стена","Wall of ice"
"Каменная стена","Wall of stone"
"Терновая стена","Wall of thorns"
"Охраняющая связь","Warding bond"
"Подводное дыхание","Water breathing"
"Хождение по воде","Water walk"
"Паутина","Web"
"Смертный ужас","Weird"
"Хождение по ветру","Wind walk"
"Стена ветров","Wind wall"
"Исполнение желаний","Wish"
"Ведьмин снаряд","Witch bolt"
"Слово возврата","Word of recall"
"Гневная кара","Wrathful smite"
"Область истины","Zone of truth"
